post_id,post_url,published_date,reactions,sub_reactions,comments,shares,context
5175917552455217,https://www.facebook.com/init.kobeengineer/posts/5175917552455217,2022-06-15 03:49:18,153,"{'讚': '93', '哈': '60', '怒': '0', '大心': '0', '加油': '0', '哇': '0', '嗚': '0'}",18,5,"#純靠北工程師65m
----------
看到一個function想說不錯喔，parameter只有一個
看到命名之後發覺不單純：utilWrap
打開來就像整人洋芋片一樣彈出來，差點沒嚇死我
裡面竟然還有不是資料的東西，帶一堆命名很奇怪的function
用一層包起來而已就想要騙過交接的人？是在脫褲子放甲烷喔
喵的什麼都帶是在逃難喔，什麼家當都帶在身上，然後還不知道自己帶了什麼鬼東西
覺得都很重要就什麼都帶，要不要每個東西都放global，這樣是不是最乾脆
別人推共食, 共享空間，我們在推共享""workspace"" 厲害了吧
還分什麼你的變數我的變數，攏吼哩啦"
5175578612489111,https://www.facebook.com/init.kobeengineer/posts/5175578612489111,2022-06-15 00:54:08,107,"{'讚': '59', '哈': '44', '哇': '2', '嗚': '2', '怒': '0', '大心': '0', '加油': '0'}",5,4,"#純靠北工程師65d
----------
喔不，ATOM 編輯器要退役了。

同事寫出來的 API, SDK，現在都還沒做到 atomic，有一堆未定義行為，

退役之後，我就不能開 “要不要乾脆用 ATOM 寫程式搞不好會內建原子性” 的玩笑了。"
5174144112632561,https://www.facebook.com/init.kobeengineer/posts/5174144112632561,2022-06-14 12:58:52,146,"{'讚': '85', '哈': '61', '怒': '0', '大心': '0', '加油': '0', '哇': '0', '嗚': '0'}",6,5,"#純靠北工程師65l
----------
又快到了每半年一次的期中跳槽自我檢測時間了
專案含金量不夠？ +1分
時常加班？ +2分
隕石躲不過？ +4分
異常的產出是否養壞了老闆？ +16分
是否當過考古學家挖文件卻發現可能在平行時空？ +256分
通靈術是否越級打怪了？ +65536分

哎呀... 快要overflow了 🍑🍑🍑🍑🍑"
5173951935985112,https://www.facebook.com/init.kobeengineer/posts/5173951935985112,2022-06-14 11:27:23,153,"{'讚': '96', '哈': '55', '大心': '1', '哇': '1', '怒': '0', '加油': '0', '嗚': '0'}",5,2,"#純靠北工程師65i
----------
一早看完 LINE 群 99+ 的訊息差點中風。

一張工單 + 兩個欄位可以講清楚的事情，用了數百條訊息在那邊瞎聊，是在人工 event
souring 膩？

都激起我寫 LINE bot 來處理的念頭了。"
5173383202708652,https://www.facebook.com/init.kobeengineer/posts/5173383202708652,2022-06-14 06:22:06,61,"{'讚': '32', '哈': '27', '加油': '1', '哇': '1', '怒': '0', '大心': '0', '嗚': '0'}",5,1,"#純靠北工程師65f
----------
今天開ERP需求討論會，
對方資深的顧問有事，PM代為開會，
我們家老大覺得對方PM，
對我們整體架構需求，
都不太了解，
老大就在群組跟主管聊天，
結尾突然冒出這句WWWWW
引以為戒~~~"
5173317699381869,https://www.facebook.com/init.kobeengineer/posts/5173317699381869,2022-06-14 05:42:26,273,"{'讚': '136', '哈': '134', '哇': '2', '嗚': '1', '怒': '0', '大心': '0', '加油': '0'}",28,2,"#純靠北工程師65c
----------
前個員工離職故意沒交接，主管下來罵交接的人是沒工作經驗？連要離職的人該留的資料都要不出來，要馬留下來的人也滾要馬賠錢。這也太鬧笑話了吧？離職是會計不是工程師，交接是交接帳務喔？工程師接手是要接手做帳務系統喔？"
5173103032736669,https://www.facebook.com/init.kobeengineer/posts/5173103032736669,2022-06-14 03:37:36,385,"{'讚': '224', '哈': '155', '哇': '4', '加油': '1', '怒': '1', '大心': '0', '嗚': '0'}",17,10,"#純靠北工程師65e
----------
當你的上司要求你改主結構，
然後跟你說：
「只是改一個數字而已，沒差吧？」

那麼你可以跟他說：
「我先把你的大腿骨打斷，
再磨去1公分後，
重新接回去好了。
少1公分而已，
沒差吧？」"
5172933036087002,https://www.facebook.com/init.kobeengineer/posts/5172933036087002,2022-06-14 02:02:50,190,"{'讚': '126', '哈': '60', '哇': '2', '嗚': '2', '怒': '0', '大心': '0', '加油': '0'}",35,3,"#純靠北工程師658
----------
最近資深主管說「不懂為何現在菜鳥那麼囂張，搞出一堆職位。什麼app工程師、前端工程師、後端工程師、Devops工程師...雜七雜八的，其實都一樣做軟體。」負責app的同事剛好請假沒聽主管說這些，在上個月跑去跟主管要求加薪，想當然被主管訓了一頓，只負責app沒啥了不起，給個3萬就是很給面子做培訓了。想當然這個月突然消失了，只會一個技能真的那麼遜嗎？雖然求職網站都說高薪，但在職場上真的會受到尊重嗎？"
5170708436309462,https://www.facebook.com/init.kobeengineer/posts/5170708436309462,2022-06-13 06:32:49,91,"{'讚': '62', '哈': '28', '哇': '1', '怒': '0', '大心': '0', '加油': '0', '嗚': '0'}",11,3,"#純靠北工程師652
----------
專案開發的反牛頓第一定律：

「反慣性定律 aka 人性定律」

若不定期施加外力，則已經訂好 SOP、時程的工作，不會順順的走下去，而是會莫名停下來、卡關，或是發生更奇怪的事情。"
5170460813000891,https://www.facebook.com/init.kobeengineer/posts/5170460813000891,2022-06-13 03:58:07,177,"{'讚': '148', '哈': '26', '哇': '2', '大心': '1', '怒': '0', '加油': '0', '嗚': '0'}",19,7,"#純靠北工程師657
----------
為什麼 PM 老是喜歡心智圖式的 Functional Map?
共事過的好幾個 PM 都喜歡拉這東西出來然後好像一切都搞定了似的
我承認這東西在構思跟發想階段是還不錯的東西
但是到了工程階段這東西就只是個災難而已"
5170277849685854,https://www.facebook.com/init.kobeengineer/posts/5170277849685854,2022-06-13 02:09:43,494,"{'讚': '299', '哈': '182', '嗚': '6', '哇': '5', '加油': '2', '怒': '0', '大心': '0'}",50,9,"#純靠北工程師659
----------
以前打魔獸時(WOW)裡面有一種臃腫噁心的怪物叫做『縫補的增惡』
是由不同受害者的血肉用惡心的縫線拼接出的肥腫不死生物
這種怪物移動時腸子腦子可能都還會掛在外頭甩啊甩的上面爬滿了噁心的蛆蟲

看著眼前由一堆亂七八招元件構成的專案
元件結構亂切亂放，彼此耦合，介面難以介接
只好用一堆骯髒噁心的寫法去把他們硬拚在一起
這時忽然有一種熟悉感
這不就是當年那個噁醜的怪物嗎？"
5168118703235102,https://www.facebook.com/init.kobeengineer/posts/5168118703235102,2022-06-12 07:50:13,314,"{'讚': '195', '哈': '114', '哇': '2', '嗚': '2', '加油': '1', '怒': '0', '大心': '0'}",24,5,"#純靠北工程師656
----------
當了 8 年專業救火工程師
每次到新公司第一個 task 就是救火
每次都有成功把火撲滅
公司 0 損失

最近換工作
當然第一個任務又是救火

本來以為燒的是一棟透天，覺得還好
後來發現透天後面有個花園，還滿是雜草
最近發現原來花園後面是山啊....
我們的隊長突然跟公司說，他不想當隊長，他只想當碼農
然後公司就把他的職務掉給我了
但我還是要救火....
隊員只有一個有受過專業訓練
其他都是自學的...

這場火感覺就救不了啊
是不是該讓火自己把東西燒光就好了"
